"Meldewoche"	"Altersgruppierung: 1-Jahresintervalle"
""	"A00..00"	"A01..01"	"A02..02"	"A03..03"	"A04..04"	"A05..05"	"A06..06"	"A07..07"	"A08..08"	"A09..09"	"A10..10"	"A11..11"	"A12..12"	"A13..13"	"A14..14"	"A15..15"	"A16..16"	"A17..17"	"A18..18"	"A19..19"	"A20..20"	"A21..21"	"A22..22"	"A23..23"	"A24..24"	"A25..25"	"A26..26"	"A27..27"	"A28..28"	"A29..29"	"A30..30"	"A31..31"	"A32..32"	"A33..33"	"A34..34"	"A35..35"	"A36..36"	"A37..37"	"A38..38"	"A39..39"	"A40..40"	"A41..41"	"A42..42"	"A43..43"	"A44..44"	"A45..45"	"A46..46"	"A47..47"	"A48..48"	"A49..49"	"A50..50"	"A51..51"	"A52..52"	"A53..53"	"A54..54"	"A55..55"	"A56..56"	"A57..57"	"A58..58"	"A59..59"	"A60..60"	"A61..61"	"A62..62"	"A63..63"	"A64..64"	"A65..65"	"A66..66"	"A67..67"	"A68..68"	"A69..69"	"A70..70"	"A71..71"	"A72..72"	"A73..73"	"A74..74"	"A75..75"	"A76..76"	"A77..77"	"A78..78"	"A79..79"	"A80+"	"Unbekannt"
"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	"1"	"1"	""	""	""	"2"	""	"1"	""	""	"1"	""	""	"1"	""	"1"	""	""	"1"	"1"	"1"	""	""	""	"1"	""	"1"	""	""	""	""	""	""	"1"	"1"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""
"11"	"1"	"2"	""	""	"1"	"1"	""	""	"1"	"3"	""	"3"	"3"	""	"3"	""	"2"	"5"	"7"	"6"	"4"	"5"	"3"	"4"	"8"	"7"	"5"	"6"	"6"	"5"	"11"	"9"	"4"	"9"	"2"	"12"	"10"	"4"	"8"	"4"	"2"	"4"	"9"	"4"	"3"	"4"	"7"	"5"	"13"	"8"	"8"	"11"	"11"	"7"	"7"	"8"	"7"	"1"	"3"	"2"	"2"	"5"	"3"	"1"	"2"	"1"	"2"	"1"	""	""	"1"	""	""	""	""	"3"	"1"	"1"	""	""	"5"	""
"12"	"2"	"2"	"1"	""	"1"	"2"	""	"2"	"3"	"2"	"5"	"4"	"4"	"3"	"3"	"7"	"12"	"10"	"9"	"17"	"23"	"9"	"11"	"14"	"15"	"17"	"23"	"23"	"18"	"22"	"26"	"24"	"29"	"17"	"17"	"13"	"18"	"7"	"18"	"14"	"16"	"21"	"19"	"16"	"16"	"20"	"19"	"16"	"19"	"9"	"21"	"25"	"18"	"19"	"14"	"16"	"19"	"21"	"17"	"12"	"15"	"15"	"7"	"10"	"10"	"7"	"6"	"6"	"8"	"7"	"2"	"4"	"3"	"3"	"3"	"6"	"2"	"2"	"1"	"5"	"12"	""
"13"	"5"	"2"	""	""	"3"	""	"1"	"2"	""	"2"	"5"	"4"	"4"	"11"	"5"	"6"	"7"	"7"	"13"	"11"	"15"	"11"	"19"	"19"	"18"	"21"	"17"	"21"	"13"	"19"	"19"	"15"	"13"	"27"	"11"	"16"	"15"	"21"	"16"	"22"	"14"	"22"	"15"	"19"	"17"	"28"	"19"	"18"	"23"	"25"	"31"	"22"	"22"	"24"	"22"	"16"	"10"	"19"	"12"	"14"	"23"	"14"	"9"	"12"	"9"	"8"	"9"	"9"	"7"	"5"	"7"	"8"	"6"	"8"	"6"	"9"	"11"	"7"	"9"	"9"	"59"	"1"
"14"	"2"	"3"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"7"	"3"	"2"	"3"	"1"	"6"	"2"	"3"	"7"	"9"	"14"	"13"	"13"	"14"	"14"	"14"	"18"	"11"	"16"	"12"	"13"	"18"	"16"	"10"	"11"	"17"	"14"	"9"	"13"	"18"	"24"	"13"	"14"	"7"	"16"	"21"	"9"	"12"	"13"	"11"	"21"	"14"	"12"	"19"	"12"	"13"	"18"	"8"	"16"	"5"	"23"	"8"	"17"	"8"	"6"	"11"	"7"	"7"	"8"	"8"	"11"	"10"	"8"	"6"	"6"	"12"	"14"	"8"	"14"	"12"	"93"	""
"15"	"4"	"2"	"2"	"1"	"2"	"1"	"2"	""	"1"	""	"4"	"1"	"1"	"1"	"1"	"2"	"5"	"4"	"8"	"8"	"6"	"8"	"8"	"18"	"12"	"8"	"12"	"16"	"17"	"12"	"13"	"14"	"18"	"10"	"7"	"8"	"10"	"13"	"19"	"4"	"6"	"6"	"13"	"10"	"9"	"7"	"11"	"9"	"12"	"12"	"11"	"12"	"13"	"14"	"14"	"19"	"9"	"5"	"7"	"13"	"11"	"5"	"8"	"3"	"6"	"6"	"3"	"5"	"3"	"7"	"3"	"9"	"10"	"8"	"11"	"2"	"10"	"7"	"11"	"5"	"125"	""
"16"	"1"	""	""	"1"	""	""	"1"	"1"	""	"2"	""	"2"	""	"1"	""	"1"	""	""	"2"	"6"	"8"	"2"	"2"	"11"	"9"	"4"	"8"	"4"	"6"	"13"	"8"	"8"	"3"	"6"	"10"	"5"	"10"	"4"	"6"	"5"	"3"	"7"	"3"	"8"	"8"	"6"	"6"	"3"	"9"	"13"	"3"	"7"	"7"	"7"	"7"	"10"	"9"	"7"	"4"	"4"	"3"	"4"	"4"	"3"	"3"	"1"	"2"	"2"	"2"	"3"	"4"	"2"	"2"	"4"	"2"	"3"	"4"	"8"	"7"	"8"	"90"	""
"17"	"1"	"1"	""	""	""	""	""	""	"1"	""	""	"1"	"1"	"1"	""	""	""	"3"	"1"	"2"	"5"	"3"	"2"	"5"	"5"	"4"	"8"	"7"	"1"	"5"	"2"	"7"	"11"	"4"	"5"	"4"	"3"	"5"	""	"4"	"1"	"1"	"5"	"7"	"4"	"2"	"7"	"3"	"1"	"1"	"5"	"3"	"3"	"4"	"2"	"2"	"5"	"6"	"4"	"2"	""	"5"	"3"	"1"	"1"	"2"	"2"	"3"	"3"	"4"	"4"	"2"	"1"	"2"	"3"	"1"	"5"	""	"7"	"3"	"69"	""
"18"	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	"1"	""	"2"	"3"	"7"	"5"	"2"	"4"	"4"	"2"	"4"	"3"	"1"	"2"	"4"	"1"	""	"1"	"1"	""	"5"	""	"5"	"1"	"5"	""	"1"	"2"	"3"	""	"3"	""	"2"	"1"	"2"	"2"	""	""	"4"	""	"4"	"2"	"1"	"3"	"2"	""	""	"1"	""	""	""	""	""	""	"1"	"1"	""	""	"1"	"2"	"1"	"5"	"2"	"25"	""
